id,title,brand,categories,body
product1,座椅,丰梵,家具,"当您在办公室或家中工作时，舒适的座椅是必不可少的。我们的座椅采用优质材料制成，经久耐用，能够为您提供全天候的支撑和舒适。座椅的人体工学设计能够有效缓解背部和颈部的压力，让您在工作或休息时都能感到舒适。我们提供多种款式和颜色供您选择，无论您喜欢现代简约风格还是传统经典风格，都能找到适合您的座椅。现在就购买我们的座椅，享受舒适的工作和生活体验！"
product2,方块边桌,丰梵,"咖啡和桌子,家具,桌子","方块边桌是一种实用而时尚的家具，它能够为您的生活增添便利和美感。我们的方块边桌采用优质材料制成，结实耐用，能够承受日常使用。它的简洁设计能够与您家中的任何装饰风格相协调。方块边桌不仅可以作为一个实用的储物空间，还可以作为一个展示您喜爱的装饰品或照片的地方。我们提供多种颜色和款式供您选择，总有一款适合您。现在就购买我们的方块边桌，为您的家增添一抹亮色！"
product3,管家凳梯,河岛,"家具","管家凳梯是一种实用而方便的工具，能够帮助您轻松够到高处的物品。我们的管家凳梯采用优质材料制成，结实耐用，能够承受日常使用。它可以折叠起来，方便存放，不占用空间。管家凳梯不仅适用于家庭，也适用于办公室、商店或仓库等场所。我们提供多种颜色和款式供您选择，总有一款适合您。现在就购买我们的管家凳梯，让您的生活更加便利！"
product4,罐头两座沙发,健乐士,"家具","这是一款罐头两座沙发，它采用了优质的材料和精湛的工艺，为您提供舒适的休息体验。它的设计简约时尚，能够与您家中的各种装饰风格相协调。此外，它还具有坚固耐用的特点，能够为您提供长久的使用寿命。不管是在客厅、卧室还是书房，这款罐头两座沙发都能够成为您家中一道亮丽的风景线。现在就购买，给您的家增添一抹温馨与舒适！"
product5,罗茨沙发床,"UGG雪地靴","家具","罗茨沙发床是一款由Karup Design制造的多功能家具。它可以轻松地转换成一张舒适的客床。展开后，它是一张140厘米宽的床，带有低矮的床架和蒲团躺椅。如果您把床头板折起来，您将获得一个带靠背的大型休息区。它有温格（深棕色）、酷灰色和未经处理的木材颜色，有两种尺寸可供选择。"
product6,卡隆纳德台灯,河岛,"装饰,电子产品,照明","卡隆纳德台灯是由Markus Johansson为Le Klint设计的一款灯具。它采用三脚架底座，带有可上下倾斜的可调节头，非常适合放在书桌或边桌上进行任务照明。头部安装在木质支架上，增添了自然的装饰，与哑光铝质表面形成对比。开关位于电线上。这款台灯不仅实用，而且外观时尚，能够为您的家居增添一抹亮色。它采用优质材料制造，经久耐用。无论是在家中还是办公室，卡隆纳德台灯都是一个理想的选择。"
product7,三件套靠垫,耐克,"装饰,床上用品","三件套靠垫是一款实用而时尚的家居装饰品。它包括三个靠垫，可用于装饰或功能性用途。它们可以放置在沙发或椅子上，提供额外的舒适度和支撑，或用作装饰品，增强房间的整体外观和感觉。这些靠垫有各种形状、尺寸、颜色和材料可供选择。这款靠垫套装不仅实用，而且外观时尚，能够为您的家居增添一抹亮色。它采用优质材料制造，经久耐用。无论是在客厅、卧室还是书房，三件套靠垫都是一个理想的选择。"
product8,流线型纤薄扶手椅,新百伦,"家具,扶手椅和椅子","流线型纤薄扶手椅是由Jean Marie Massaud为MDF Italia设计的一款椅子。它于2014年首次设计，作为Flow家族的自然演变。这把椅子将舒适性和美学完美结合，具有现代感的流畅扶手椅，能够完美融入任何环境，从家庭到办公室再到公共空间。与Flow Chair一样，Flow Slim可以根据其底座（有7种不同选择）和外壳进行个性化定制，外壳可以通过填充（皮革或MDF Italia的200多种面料中的任何一种）进行增强，由于其形状而增加舒适度和支撑力。"
product9,折叠托盘桌,新百伦,"装饰,家具","折叠托盘桌是一种便携式轻巧桌子，不使用时可轻松折叠收纳。它通常由一个折叠框架或腿支撑的平面或托盘组成。这些桌子常用于盛放食物或饮料，作为临时工作空间，或作为阅读、写作或手工活动等的便利表面。它们常见于家庭、办公室和户外空间，并有各种尺寸、材料和风格可供选择，以满足不同的需求和喜好。"
product10,1,Garden Armchair,images/molla/product/10-1.jpg,images/molla/product/10-1.jpg|images/molla/product/10-2.jpg,New Balance,"Decoration,Furniture,Armchairs & Chaises","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product11,1,Carronade Large Suspension Lamp,images/molla/product/11-1.jpg,images/molla/product/11-1.jpg|images/molla/product/11-2.jpg,New Balance,"Lighting","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product12,1,Petite Table Lamp,images/molla/product/12-1.jpg,images/molla/product/12-1.jpg|images/molla/product/12-2.jpg|images/molla/product/12-3.jpg,Geox,"Lighting","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product13,1,Madra Log Holder,images/molla/product/13-1.jpg,images/molla/product/13-1.jpg|images/molla/product/13-2.jpg,Geox,"Decor,Storage Boxes & Baskets,Kitchen Cabinets","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product14,1,Original Outdoor Beanbag,images/molla/product/14-1.jpg,images/molla/product/14-1.jpg|images/molla/product/14-2.jpg|images/molla/product/14-3.jpg|images/molla/product/14-4.jpg,Geox,"Storage Boxes & Baskets,Decor,Decoration,Beds","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product15,1,Windback Chair,images/molla/product/15-1.jpg,images/molla/product/15-1.jpg,New Balance,"Sofas & Sleeper Sofas,Decor,Armchairs & Chaises","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
